Country,Clicks,Impressions,CTR,Position
United States,1,117,0.85%,53.32
Canada,0,24,0%,67.21
Denmark,0,18,0%,43.83
United Kingdom,0,13,0%,69.15
Australia,0,12,0%,55.33
Thailand,0,6,0%,42.33
India,0,5,0%,40.2
United Arab Emirates,0,4,0%,46
France,0,2,0%,23
South Africa,0,2,0%,26
Estonia,0,2,0%,28.5
Malaysia,0,2,0%,39.5
Greece,0,1,0%,2
Sweden,0,1,0%,5
Gibraltar,0,1,0%,35
Israel,0,1,0%,37
Hong Kong,0,1,0%,38
Kazakhstan,0,1,0%,40
Latvia,0,1,0%,42
Philippines,0,1,0%,45
Singapore,0,1,0%,48
Germany,0,1,0%,67
China,0,1,0%,118
